page,imdb_id,title,year,rating,rating_count,runtime_minutes,certificate,genres,plot,url
18,tt0265459,One Hour Photo,2002,6.8,138903,96,R,"Drama, Thriller",A mentally unstable photo developer targets an upper middle-class family after his obsession with them becomes more sick and disturbing than any of them could imagine.,https://www.imdb.com/title/tt0265459/
18,tt0096446,Willow,1988,7.2,138362,126,PG,"Action, Adventure, Drama","A young dwarf farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen. Along the way, he teams up with a disgraced swordsman to defeat the evil sorceress.",https://www.imdb.com/title/tt0096446/
18,tt0087884,"Paris, Texas",1984,8.1,138238,145,R,Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",https://www.imdb.com/title/tt0087884/
18,tt1615065,Savages,2012,6.4,138185,131,R,"Crime, Drama, Thriller",Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,https://www.imdb.com/title/tt1615065/
18,tt1979388,The Good Dinosaur,2015,6.7,138155,93,PG,"Animation, Action, Adventure","In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",https://www.imdb.com/title/tt1979388/
18,tt0365737,Syriana,2005,6.9,138023,128,R,"Drama, Thriller",A politically charged epic about the state of the oil industry in the hands of those personally involved in and affected by it.,https://www.imdb.com/title/tt0365737/
18,tt0450232,16 Blocks,2006,6.6,138011,102,PG-13,"Action, Drama, Thriller","An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece.",https://www.imdb.com/title/tt0450232/
19,tt3846674,To All the Boys I've Loved Before,2018,7,137953,99,TV-14,"Comedy, Drama, Romance",A teenage girl's secret love letters are exposed and wreak havoc on her love life.,https://www.imdb.com/title/tt3846674/
19,tt2494362,Bone Tomahawk,2015,7.1,137879,132,Not Rated,"Drama, Horror, Western","In the Old West, a small-town sheriff and his rag-tag posse set out to rescue several townspeople from a brutal cave-dwelling, cannibalistic Indian tribe.",https://www.imdb.com/title/tt2494362/
19,tt1692486,Carnage,2011,7.1,137831,80,R,"Comedy, Drama","Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.",https://www.imdb.com/title/tt1692486/
19,tt1937390,Nymphomaniac: Vol. I,2013,6.9,137802,117,Not Rated,Drama,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,https://www.imdb.com/title/tt1937390/
19,tt0337741,Something's Gotta Give,2003,6.8,137689,128,PG-13,"Comedy, Drama, Romance",A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,https://www.imdb.com/title/tt0337741/
19,tt0097351,Field of Dreams,1989,7.5,137649,107,PG,"Drama, Family, Fantasy","Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.",https://www.imdb.com/title/tt0097351/
19,tt1616195,J. Edgar,2011,6.5,137619,137,R,"Biography, Drama, Romance","J. Edgar Hoover, powerful head of the F.B.I. for nearly fifty years, looks back on his professional and personal life.",https://www.imdb.com/title/tt1616195/
19,tt0257360,About Schmidt,2002,7.2,137609,125,R,Drama,"Newly retired from the insurance industry, Omaha native Warren Schmidt embarks on an RV journey to his estranged daughter Jeannie's wedding in Denver Colorado, only to discover more about himself and life than he ever expected.",https://www.imdb.com/title/tt0257360/
19,tt0293508,The Phantom of the Opera,2004,7.2,137472,143,PG-13,"Drama, Musical, Romance",A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,https://www.imdb.com/title/tt0293508/
19,tt21823606,A Real Pain,2024,7,137393,90,R,"Comedy, Drama","Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history.",https://www.imdb.com/title/tt21823606/
19,tt0338564,Infernal Affairs,2002,8,137315,101,R,"Crime, Drama, Mystery","Chen Wing Yan, a policeman, successfully infiltrates a gang while Lau Kin Ming, a triad member, becomes a mole in the police force. However, things change when both of them must seek each other out.",https://www.imdb.com/title/tt0338564/
19,tt0842926,The Kids Are All Right,2010,7,137041,106,R,"Comedy, Drama, Romance",Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,https://www.imdb.com/title/tt0842926/
19,tt0117731,Star Trek: First Contact,1996,7.6,137041,111,PG-13,"Action, Adventure, Drama",The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.,https://www.imdb.com/title/tt0117731/
19,tt0431197,The Kingdom,2007,7,136928,110,R,"Action, Drama, Thriller",A team of U.S. government agents are sent to investigate the bombing of an American facility in the Middle East.,https://www.imdb.com/title/tt0431197/
19,tt8503618,Hamilton,2020,8.3,136789,160,PG-13,"Biography, Drama, History","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",https://www.imdb.com/title/tt8503618/
19,tt0314353,Tears of the Sun,2003,6.6,136781,121,R,"Action, Drama, Thriller",A Special-Ops commander leads his team into the Nigerian jungle in order to rescue a doctor who will only join them if they agree to save 70 refugees too.,https://www.imdb.com/title/tt0314353/
19,tt1389072,Downsizing,2017,5.8,136603,135,R,"Drama, Fantasy, Sci-Fi","A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",https://www.imdb.com/title/tt1389072/
19,tt0074119,All the President's Men,1976,7.9,136484,138,PG,"Drama, History, Thriller","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",https://www.imdb.com/title/tt0074119/
19,tt1924396,The Best Offer,2013,7.8,136095,131,R,"Crime, Drama, Mystery","Virgil Oldman, a wealthy art auctioneer, takes the help of a young artificer, Robert, to understand and woo Claire Ibbetson, a young heiress, who hires him to auction off an antique collection.",https://www.imdb.com/title/tt1924396/
19,tt0114388,Sense and Sensibility,1995,7.7,135922,136,PG,"Drama, Romance","In Georgian era England, wealthy Mr. Dashwood dies leaving his second wife and three daughters destitute. The ladies move to a modest cottage where the two older daughters vie for the attention of various suitors in search of true love.",https://www.imdb.com/title/tt0114388/
19,tt5323662,A Silent Voice: The Movie,2016,8.2,135850,130,Not Rated,"Animation, Drama","A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends.",https://www.imdb.com/title/tt5323662/
19,tt0113118,Friday,1995,7.2,135469,91,R,"Comedy, Drama","It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",https://www.imdb.com/title/tt0113118/
19,tt0071360,The Conversation,1974,7.7,135310,113,PG,"Drama, Mystery, Thriller","A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",https://www.imdb.com/title/tt0071360/
19,tt7599146,Sound of Freedom,2023,7.6,135300,131,PG-13,"Biography, Crime, Drama",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.,https://www.imdb.com/title/tt7599146/
19,tt1135503,Julie & Julia,2009,7,135127,123,PG-13,"Biography, Drama, Romance","Julie Powell, a young blogger, is determined to emulate Julia Child's cooking techniques. Though separated by time, the two women share a common passion for food that intertwines their lives.",https://www.imdb.com/title/tt1135503/
19,tt6394270,Bombshell,2019,6.8,134994,109,R,"Biography, Drama",A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,https://www.imdb.com/title/tt6394270/
19,tt0328880,Brother Bear,2003,6.9,134903,85,G,"Animation, Adventure, Comedy","When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.",https://www.imdb.com/title/tt0328880/
